"Country","combined figures (kg/capita/year)","Household estimate (kg/capita/year)","Household estimate (tonnes/year)","Retail estimate (kg/capita/year)","Retail estimate (tonnes/year)","Food service estimate (kg/capita/year)","Food service estimate (tonnes/year)","M49 code","Region","Source"
"CHINA, MACAO SAR",110,71,45728,13,8204,26,16375,446,"EASTERN ASIA","https://www.unep.org/resources/report/unep-food-waste-index-report-2030"
"COLOMBIA",114,70,3545499,16,787320,28,1391787,170,"LATIN AMERICA AND THE CARIBBEAN","https://www.unep.org/resources/report/unep-food-waste-index-report-2058"
"COMOROS",144,100,84742,16,13308,28,23526,174,"SUB-SAHARAN AFRICA","https://www.unep.org/resources/report/unep-food-waste-index-report-2185"
"CONGO",144,100,535851,16,84152,28,148760,178,"SUB-SAHARAN AFRICA","https://www.unep.org/resources/report/unep-food-waste-index-report-2186"
"COSTA RICA",116,72,365609,16,78946,28,139556,188,"LATIN AMERICA AND THE CARIBBEAN","https://www.unep.org/resources/report/unep-food-waste-index-report-2059"
"CÔTE D’IVOIRE",144,100,2561140,16,402212,28,711012,384,"SUB-SAHARAN AFRICA","https://www.unep.org/resources/report/unep-food-waste-index-report-2187"
"CROATIA",123,84,348070,13,52915,26,105613,191,"SOUTHERN EUROPE","https://www.unep.org/resources/report/unep-food-waste-index-report-2163"
"CUBA",116,72,820910,16,177259,28,313349,192,"LATIN AMERICA AND THE CARIBBEAN","https://www.unep.org/resources/report/unep-food-waste-index-report-2060"
"CURAÇAO",113,74,12079,13,2093,26,4178,531,"LATIN AMERICA AND THE CARIBBEAN","https://www.unep.org/resources/report/unep-food-waste-index-report-2061"
"CYPRUS",134,95,113306,13,15356,26,30649,196,"WESTERN ASIA","https://www.unep.org/resources/report/unep-food-waste-index-report-2230"
"CZECHIA",109,70,746840,13,136943,26,273327,203,"EASTERN EUROPE","https://www.unep.org/resources/report/unep-food-waste-index-report-2037"
